MS,MS Name,CCI,Ver,Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2B,New farmers,"4,400,764.00",437791745,877868145,5013.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,"359,820,282.00",35861971855,71844000055,5008.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,"46,704,425.00",4653289469,9323731969,5009.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_3A,Competitiveness of producers,"532,565.00",51743594,105000094,5072.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_3B,Risk management,"106,513.00",10348719,21000019,5072.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3A,Competitiveness of producers,"5,347,177.00",531545418,1066263118,5015.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3B,Risk management,"204,350.00",20313786,40748786,5015.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3A,Competitiveness of producers,"10,487,783.00",1043333589,2092111889,5013.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3B,Risk management,"757,506.00",75357344,151107944,5013.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M03,Quality schemes,FA_3A,Competitiveness of producers,"66,487,287.00",6651271395,13300000095,4999.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,"52,462,402.00",5249317834,10495558034,4999.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M14,Animal welfare,FA_3A,Competitiveness of producers,"118,765,529.00",12123447141,24000000041,4949.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P4,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_P4,Priority 4,"2,130,257.00",206974155,419999855,5072.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P4,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_P4,Priority 4,"11,606,722.00",1153786404,2314458604,5015.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_P4,Priority 4,"10,779,662.00",1072369969,2150336169,5013.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M04,Physical Investment,FA_P4,Priority 4,"45,687,745.00",455922566,912800016,5005.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M07,Basic services,FA_P4,Priority 4,"43,222,282.00",426284685,858507505,5035.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M08,Forest,FA_P4,Priority 4,"24,481,208.00",243750406,488562486,5011.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,"527,457,884.00",51523411363,104269199763,5059.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,"2,003,510,665.00",19164893306,39199999956,5111.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,"899,839.00",85016133,175000033,5142.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,"4,371,814,425.00",44481855703,88199999953,4957.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M15,Forest-environment,FA_P4,Priority 4,"17,561,725.00",174382801,350000051,5018.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_P4,Priority 4,"45,687,745.00",455922566,912800016,5005.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M07,Basic services,FA_P4,Priority 4,"43,222,282.00",426284685,858507505,5035.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M08,Forest,FA_P4,Priority 4,"24,481,208.00",243750406,488562486,5011.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,"527,457,884.00",51523411363,104269199763,5059.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,"2,003,510,665.00",19164893306,39199999956,5111.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,"899,839.00",85016133,175000033,5142.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,"4,371,814,425.00",44481855703,88199999953,4957.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M15,Forest-environment,FA_P4,Priority 4,"17,561,725.00",174382801,350000051,5018.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5A,Water efficiency,"106,513.00",10348719,21000019,5072.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5B,Energy efficiency,"532,565.00",51743594,105000094,5072.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5C,Renewable energy,"745,590.00",72440972,146999972,5072.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5D,Reducing GHG and NH3,"213,026.00",20697437,42000037,5072.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5E,Carbon conservation / sequestration,"319,539.00",31046156,63000056,5072.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5A,Water efficiency,"442,766.00",44013908,88290508,5015.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5B,Energy efficiency,"442,766.00",44013908,88290508,5015.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5C,Renewable energy,"442,766.00",44013908,88290508,5015.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5D,Reducing GHG and NH3,"442,766.00",44013908,88290508,5015.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5E,Carbon conservation / sequestration,"442,766.00",44013908,88290508,5015.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5A,Water efficiency,"302,099.00",30053059,60262959,5013.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5B,Energy efficiency,"1,545,394.00",153737113,308276513,5013.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5C,Renewable energy,"3,972,128.00",395150697,792363497,5013.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5D,Reducing GHG and NH3,"322,392.00",32071814,64311014,5013.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5E,Carbon conservation / sequestration,"1,413,866.00",140652589,282039189,5013.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5C,Renewable energy,"19,030,225.00",1908477601,3811500101,4993.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M06,Farm and business development,FA_5C,Renewable energy,"15,933,200.00",158432997,317764997,5014.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M07,Basic services,FA_5C,Renewable energy,"52,534,380.00",5316562041,10570000041,497.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M08,Forest,FA_5C,Renewable energy,"7,596,148.00",741225257,1500840057,5061.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M10,Agri-environment-climate,FA_5D,Reducing GHG and NH3,"10,167,819.00",993218089,2009999989,5059.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P5,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_5A,Water efficiency,"9,882,464.00",972878625,1961125025,5039.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P6,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_6A,"Diversification, SMEs and job creation","2,686,966.00",261063552,529760152,5072.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P6,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_6A,"Diversification, SMEs and job creation","34,210,769.00",3400780989,6821857889,5015.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P6,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_6B,Local development,"204,350.00",20313786,40748786,5015.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P6,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_6A,"Diversification, SMEs and job creation","6,594,566.00",656033049,1315489649,5013.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P6,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_6C,ICT,"550,542.00",54768373,109822573,5013.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P6,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),VOID,M07,Basic services,FA_6C,ICT,"26,459,915.00",2674008518,5320000018,4974.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P6,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M06,Farm and business development,FA_6A,"Diversification, SMEs and job creation","25,590,301.00",2498979805,5058009905,5059.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M07,Basic services,FA_6B,Local development,"208,538,482.00",20646412921,41500261121,5025.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,"196,963,200.00",49240800,246204000,80%,,
AT,Austria,2014AT14MFOP001,13,Maritime and Fisheries - Austria,EMFF,,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,VOID,VOID,VOID,VOID,"6,738,500.00",6691500,13430000,5017.00%,,
AT,Austria,2014AT14MFOP001,13,Maritime and Fisheries - Austria,EMFF,,TA,Technical Assistance,Technical Assistance,VOID,VOID,VOID,VOID,VOID,"226,500.00",273500,500000,453.00%,,
AT,Austria,2014AT16RFOP001,12,Investments in Growth and Employment - ERDF,ERDF,A.1,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,"186,418,318.00",435634895,622053213,2997.00%,,
AT,Austria,2014AT16RFOP001,12,Investments in Growth and Employment - ERDF,ERDF,A.1,1,Research & Innovation,"Strengthening research, technological development and innovation",Transition,VOID,VOID,VOID,VOID,"12,016,920.00",19303552,31320472,3837.00%,,
AT,Austria,2014AT16RFOP001,12,Investments in Growth and Employment - ERDF,ERDF,A.2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,"139,207,301.00",634719514,773926815,1799.00%,,
AT,Austria,2014AT16RFOP001,12,Investments in Growth and Employment - ERDF,ERDF,A.2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Transition,VOID,VOID,VOID,VOID,"25,525,132.00",109100528,134625660,1896.00%,,
AT,Austria,2014AT16RFOP001,12,Investments in Growth and Employment - ERDF,ERDF,A.3,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"102,870,771.00",238829776,341700547,3011.00%,,
AT,Austria,2014AT16RFOP001,12,Investments in Growth and Employment - ERDF,ERDF,A.3,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Transition,VOID,VOID,VOID,VOID,"6,635,396.00",27740690,34376086,193.00%,,
AT,Austria,2014AT16RFOP001,12,Investments in Growth and Employment - ERDF,ERDF,A.4,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,"7,800,000.00",7800000,15600000,50%,,
AT,Austria,2014AT16RFOP001,12,Investments in Growth and Employment - ERDF,ERDF,A.4,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"8,650,000.00",8650000,17300000,50%,,
AT,Austria,2014AT16RFOP001,12,Investments in Growth and Employment - ERDF,ERDF,A.4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,"4,850,000.00",4850000,9700000,50%,,
AT,Austria,2014AT16RFOP001,12,Investments in Growth and Employment - ERDF,ERDF,A.4,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"5,893,940.00",5893940,11787880,50%,,
AT,Austria,2014AT16RFOP001,12,Investments in Growth and Employment - ERDF,ERDF,A.5,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"10,000,000.00",10400000,20400000,4902.00%,,
AT,Austria,2014AT16RFOP001,12,Investments in Growth and Employment - ERDF,ERDF,A.5,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"5,543,700.00",5543700,11087400,50%,,
AT,Austria,2014AT16RFOP001,12,Investments in Growth and Employment - ERDF,ERDF,B.1,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"18,030,764.00",18030764,36061528,50%,,
AT,Austria,2014AT16RFOP001,12,Investments in Growth and Employment - ERDF,ERDF,B.1,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"2,819,837.00",2819837,5639674,50%,,
BE,Belgium,2014BE05M9OP001,14,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"2,906,037.00",2906037,5812074,50%,,
BE,Belgium,2014BE05M9OP001,14,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"41,060,474.00",41060474,82120948,50%,,
BE,Belgium,2014BE05M9OP001,14,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"59,400,071.00",59400071,118800142,50%,,
BE,Belgium,2014BE05M9OP001,14,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,"152,709,755.00",152709755,305419510,50%,,
BE,Belgium,2014BE05M9OP001,14,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,3,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"112,938,157.00",112938157,225876314,50%,,
BE,Belgium,2014BE05M9OP001,14,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,3,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,"120,243,902.00",120243902,240487804,50%,,
BE,Belgium,2014BE05M9OP001,14,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,4,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"16,057,053.00",16057053,32114106,50%,,
BE,Belgium,2014BE05M9OP001,14,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,4,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"17,412,506.00",17412506,34825012,50%,,
BE,Belgium,2014BE05M9OP001,14,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,AT,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"6,404,143.00",6404143,12808286,50%,,
BE,Belgium,2014BE05M9OP001,14,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,AT,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"12,024,390.00",12024390,24048780,50%,,
BE,Belgium,2014BE05M9OP001,14,Wallonie-Bruxelles 2020.eu - ESF/YEI,YEI,4,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,VOID,VOID,VOID,VOID,"73,127,920.00",36563960,109691880,6667.00%,,
BE,Belgium,2014BE05M9OP002,13,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"3,560,543.00",3560543,7121086,50%,,
BE,Belgium,2014BE05M9OP002,13,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,ESF,2,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"21,576,199.00",21576199,43152398,50%,,
BE,Belgium,2014BE05M9OP002,13,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,ESF,3,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"13,127,105.00",13127105,26254210,50%,,
BE,Belgium,2014BE05M9OP002,13,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,ESF,4,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"1,961,271.00",1961271,3922542,50%,,
BE,Belgium,2014BE05M9OP002,13,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,YEI,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,VOID,VOID,VOID,VOID,"11,742,220.00",5871110,17613330,6667.00%,,
BE,Belgium,2014BE05SFOP001,13,German Speaking Community of Belgium - ESF,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"3,300,000.00",3300000,6600000,50%,,
BE,Belgium,2014BE05SFOP001,13,German Speaking Community of Belgium - ESF,ESF,2,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,"5,500,000.00",5500000,11000000,50%,,
BE,Belgium,2014BE05SFOP001,13,German Speaking Community of Belgium - ESF,ESF,3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,"1,760,000.00",1760000,3520000,50%,,
