MS,MS Name,CCI,Ver,Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2B,New farmers,"319,539.00","310,461.56","630,000.56",50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,"4,768,148.00","4,739,860.54","9,508,008.54",50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2B,New farmers,"204,350.00","203,137.86","407,487.86",50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2A,Farm performance,"15,172,645.00","15,093,876.74","30,266,521.74",50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2B,New farmers,"4,400,764.00","4,377,917.45","8,778,681.45",50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,"359,820,282.00","358,619,718.55","718,440,000.55",50.08%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,"46,704,425.00","46,532,894.69","93,237,319.69",50.09%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_3A,Competitiveness of producers,"532,565.00","517,435.94","1,050,000.94",50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_3B,Risk management,"106,513.00","103,487.19","210,000.19",50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3A,Competitiveness of producers,"5,347,177.00","5,315,454.18","10,662,631.18",50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3B,Risk management,"204,350.00","203,137.86","407,487.86",50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3A,Competitiveness of producers,"10,487,783.00","10,433,335.89","20,921,118.89",50.13%
CZ,Czech Republic,2014CZ14MFOP001,2,Maritime and Fisheries - Czech Republic,EMFF,,TA,Technical Assistance,Technical Assistance,VOID,VOID,VOID,VOID,VOID,"1,707,300.00","569,100.00","2,276,400.00",75%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3B,Risk management,"757,506.00","753,573.44","1,511,079.44",50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M03,Quality schemes,FA_3A,Competitiveness of producers,"66,487,287.00","66,512,713.95","133,000,000.95",49.99%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,"52,462,402.00","52,493,178.34","104,955,580.34",49.99%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M14,Animal welfare,FA_3A,Competitiveness of producers,"118,765,529.00","121,234,471.41","240,000,000.41",49.49%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_P4,Priority 4,"2,130,257.00","2,069,741.55","4,199,998.55",50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_P4,Priority 4,"11,606,722.00","11,537,864.04","23,144,586.04",50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_P4,Priority 4,"10,779,662.00","10,723,699.69","21,503,361.69",50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M04,Physical Investment,FA_P4,Priority 4,"4,568,774.50","4,559,225.66","9,128,000.16",50.05%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M07,Basic services,FA_P4,Priority 4,"43,222,282.00","42,628,468.50","85,850,750.50",50.35%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M08,Forest,FA_P4,Priority 4,"24,481,208.00","24,375,040.60","48,856,248.60",50.11%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,"527,457,884.00","515,234,113.63","1,042,691,997.63",50.59%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,"200,351,066.50","191,648,933.06","391,999,999.56",51.11%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,"899,839.00","850,161.33","1,750,000.33",51.42%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,"437,181,442.50","444,818,557.03","881,999,999.53",49.57%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M15,Forest-environment,FA_P4,Priority 4,"1,756,172.50","1,743,828.01","3,500,000.51",50.18%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_P4,Priority 4,"4,568,774.50","4,559,225.66","9,128,000.16",50.05%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M07,Basic services,FA_P4,Priority 4,"43,222,282.00","42,628,468.50","85,850,750.50",50.35%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M08,Forest,FA_P4,Priority 4,"24,481,208.00","24,375,040.60","48,856,248.60",50.11%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,"527,457,884.00","515,234,113.63","1,042,691,997.63",50.59%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,"200,351,066.50","191,648,933.06","391,999,999.56",51.11%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,"899,839.00","850,161.33","1,750,000.33",51.42%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,"437,181,442.50","444,818,557.03","881,999,999.53",49.57%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M15,Forest-environment,FA_P4,Priority 4,"1,756,172.50","1,743,828.01","3,500,000.51",50.18%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5A,Water efficiency,"106,513.00","103,487.19","210,000.19",50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5B,Energy efficiency,"532,565.00","517,435.94","1,050,000.94",50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5C,Renewable energy,"745,590.00","724,409.72","1,469,999.72",50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5D,Reducing GHG and NH3,"213,026.00","206,974.37","420,000.37",50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5E,Carbon conservation / sequestration,"319,539.00","310,461.56","630,000.56",50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5A,Water efficiency,"442,766.00","440,139.08","882,905.08",50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5B,Energy efficiency,"442,766.00","440,139.08","882,905.08",50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5C,Renewable energy,"442,766.00","440,139.08","882,905.08",50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5D,Reducing GHG and NH3,"442,766.00","440,139.08","882,905.08",50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5E,Carbon conservation / sequestration,"442,766.00","440,139.08","882,905.08",50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5A,Water efficiency,"302,099.00","300,530.59","602,629.59",50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5B,Energy efficiency,"1,545,394.00","1,537,371.13","3,082,765.13",50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5C,Renewable energy,"3,972,128.00","3,951,506.97","7,923,634.97",50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5D,Reducing GHG and NH3,"322,392.00","320,718.14","643,110.14",50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5E,Carbon conservation / sequestration,"1,413,866.00","1,406,525.89","2,820,391.89",50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5C,Renewable energy,"19,030,225.00","19,084,776.01","38,115,001.01",49.93%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M06,Farm and business development,FA_5C,Renewable energy,"15,933,200.00","15,843,299.70","31,776,499.70",50.14%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M07,Basic services,FA_5C,Renewable energy,"52,534,380.00","53,165,620.41","105,700,000.41",49.7%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M08,Forest,FA_5C,Renewable energy,"7,596,148.00","7,412,252.57","15,008,400.57",50.61%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M10,Agri-environment-climate,FA_5D,Reducing GHG and NH3,"10,167,819.00","9,932,180.89","20,099,999.89",50.59%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_5A,Water efficiency,"9,882,464.00","9,728,786.25","19,611,250.25",50.39%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P6,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_6A,"Diversification, SMEs and job creation","2,686,966.00","2,610,635.52","5,297,601.52",50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P6,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_6A,"Diversification, SMEs and job creation","34,210,769.00","34,007,809.89","68,218,578.89",50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P6,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_6B,Local development,"204,350.00","203,137.86","407,487.86",50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P6,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_6A,"Diversification, SMEs and job creation","6,594,566.00","6,560,330.49","13,154,896.49",50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P6,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_6C,ICT,"550,542.00","547,683.73","1,098,225.73",50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P6,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),VOID,M07,Basic services,FA_6C,ICT,"26,459,915.00","26,740,085.18","53,200,000.18",49.74%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P6,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M06,Farm and business development,FA_6A,"Diversification, SMEs and job creation","25,590,301.00","24,989,798.05","50,580,099.05",50.59%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M07,Basic services,FA_6B,Local development,"208,538,482.00","206,464,129.21","415,002,611.21",50.25%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,"196,963,200.00","49,240,800.00","246,204,000.00",80%
AT,Austria,2014AT14MFOP001,1.3,Maritime and Fisheries - Austria,EMFF,,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,VOID,VOID,VOID,VOID,"6,738,500.00","6,691,500.00","13,430,000.00",50.17%
AT,Austria,2014AT14MFOP001,1.3,Maritime and Fisheries - Austria,EMFF,,TA,Technical Assistance,Technical Assistance,VOID,VOID,VOID,VOID,VOID,"226,500.00","273,500.00","500,000.00",45.3%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.1,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,"186,418,318.00","435,634,895.00","622,053,213.00",29.97%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.1,1,Research & Innovation,"Strengthening research, technological development and innovation",Transition,VOID,VOID,VOID,VOID,"12,016,920.00","19,303,552.00","31,320,472.00",38.37%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,"139,207,301.00","634,719,514.00","773,926,815.00",17.99%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Transition,VOID,VOID,VOID,VOID,"25,525,132.00","109,100,528.00","134,625,660.00",18.96%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.3,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"102,870,771.00","238,829,776.00","341,700,547.00",30.11%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.3,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Transition,VOID,VOID,VOID,VOID,"6,635,396.00","27,740,690.00","34,376,086.00",19.3%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.4,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,"7,800,000.00","7,800,000.00","15,600,000.00",50%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.4,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"8,650,000.00","8,650,000.00","17,300,000.00",50%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,"4,850,000.00","4,850,000.00","9,700,000.00",50%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.4,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"5,893,940.00","5,893,940.00","11,787,880.00",50%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.5,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"10,000,000.00","10,400,000.00","20,400,000.00",49.02%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.5,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"5,543,700.00","5,543,700.00","11,087,400.00",50%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,B.1,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"18,030,764.00","18,030,764.00","36,061,528.00",50%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,B.1,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"2,819,837.00","2,819,837.00","5,639,674.00",50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"2,906,037.00","2,906,037.00","5,812,074.00",50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"41,060,474.00","41,060,474.00","82,120,948.00",50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"59,400,071.00","59,400,071.00","118,800,142.00",50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,"152,709,755.00","152,709,755.00","305,419,510.00",50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,3,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"112,938,157.00","112,938,157.00","225,876,314.00",50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,3,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,"120,243,902.00","120,243,902.00","240,487,804.00",50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,4,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"16,057,053.00","16,057,053.00","32,114,106.00",50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,4,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"17,412,506.00","17,412,506.00","34,825,012.00",50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,AT,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"6,404,143.00","6,404,143.00","12,808,286.00",50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,AT,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"12,024,390.00","12,024,390.00","24,048,780.00",50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,YEI,4,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,VOID,VOID,VOID,VOID,"73,127,920.00","36,563,960.00","109,691,880.00",66.67%
BE,Belgium,2014BE05M9OP002,1.3,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"3,560,543.00","3,560,543.00","7,121,086.00",50%
BE,Belgium,2014BE05M9OP002,1.3,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,ESF,2,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"21,576,199.00","21,576,199.00","43,152,398.00",50%
