name_link,name_link-href,former_employer_text,former_function_text,new_function_text,new_employer_text,policy_area_text,date_of_revovlivng_door_text,institutional_reaction,other_info,page,page-href
"Harald Boerekamp","https://corporateeurope.org/revolvingdoorwatch/cases/harald-boerekamp","DG-ECHO (Humanitarian Aid and Civil Protection)","Administrator (contract agent)","Senior consultant","Interel European Affairs","Development","May, 2012","""DG ECHO has confirmed that Mr Boerekamp did not have access to sensitive information during his time in the European Commission when he was working as a contract agent at DG ECHO ...[therefore] Mr Boerekamp did not need an authorisation to exercise an activity after leaving the Commission"". Source: http://www.asktheeu.org/en/request/article_16_staff_regulations_4#outgoi...","Mr Boerekamp has told CEO that ""There is no overlap between my work at the Commission and my new work at Interel"" and that he concurs with the judgement of the Commission that he had not had access to sensitive information during his time at the Commission. (Email to CEO, 1 August 2012)","",""
"Erika Mann","https://corporateeurope.org/revolvingdoorwatch/cases/erika-mann","European Parliament","Member of European Parliament (for 10 years)","Executive Vice President","Computer and Communications Industry Association, and now Facebook","IT","December, 2009","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent activities.","While she was an MEP, Ms Mann was a member of several MEP-industry fora including the Transatlantic Policy Network (TPN) and the Kangaroo group where she was a member of the board of the Working Group on Telecoms & Information Society. She was also a founding member and co-chair of the European Internet Foundation which brings MEPs and industry together to discuss matters related to the internet. She was a member of the board in the Information Society Forum of the European Commission.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Elizabeth Kuiper","https://corporateeurope.org/revolvingdoorwatch/cases/elizabeth-kuiper","Permanent representation to the Netherlands","Attaché on health, pharmaceuticals and medical devices","Director of European affairs","European federation of pharmaceutical industries and associations (EFPIA)","Health/Medicines","May, 2014","The permanent representations of EU member states are not covered by the revolving door rules contained in the EU institutions' staff regulations. The Dutch permanent representation has told CEO that","According to her linked-in profile, Kuiper was an attaché at the Netherlands' permanent representation to the EU for three and half years up to April 2014. She represented the Netherlands in EU negotiations in the field of health, pharmaceuticals and medical devices. Prior to that she worked as a political advisor at the Dutch ministry for health, welfare and sport for three years.","",""
"Thomas Lönngren","https://corporateeurope.org/revolvingdoorwatch/cases/thomas-l-nngren","European Medicines Agency (for 10 years)","Executive Director","Strategic adviser","Pharma Executive Consulting Ltd + NDA Group","Health/Medicines","January, 2011","Lönngren’s consultancy work was initially approved by EMA, although this approval was based on very limited information. After media coverage and NGO complaints, EMA was forced to go back to Lönngren to seek further information and clarification about his new roles. Ultimately, EMA approved all of Lönngren's new roles although they imposed a set of limitations on him for a period of two years which included prohibitions on “holding any kind of managerial, executive or consultative role in pharmaceutical companies or industry associations”, and on providing “product-related guidance or advice” about any matter falling within the remit of the Agency. The board also required that Lönngren should “not have any contacts with Agency staff or members of the Agency scientific committees in the context of his professional activities and shall not represent or accompany” third parties at meetings with the Agency"".","Lönngren has had a range of professional activities since leaving EMA. These include setting up his own consultancy firm Pharma Executive Consulting Ltd; becoming a Strategic Adviser to NDA, a leading consultancy firm for the pharmaceutical industry; being a non-executive board member of pharmaceuticals company CBio Ltd, Australia; Essex Woodlands, a venture capital company investing in the healthcare sector, where Lönngren was hired for six months to “provide strategic advice on business plans”; plus associations with three other organisations: the CMR Institute, the Tapestry network and the Athenaeum network, all of which have ties to the pharmaceutical industry.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Serge Abou","https://corporateeurope.org/revolvingdoorwatch/cases/serge-abou","DG External Relations (now European External Action Service)","EU Ambassador to China","Adviser","Huawei","Business/Industry","July, 2013","The Commission has told CEO that: ""Mr Abou has informed the Commission in accordance with Article 16 of the Staff Regulations of his intention to exercise an occupational activity at Huawei's. To this, the Commission replied negatively for the period until the end of 2012 at which date the two years period foreseen in Article 16 of the Staff Regulation has ended. The Commission has also imposed precautionary restrictions for the period after 2012.""","Abou worked for the EU for three decades, including stints as director-general for External Relations and director for Trade Defence Policy.","",""
"John Bruton","https://corporateeurope.org/revolvingdoorwatch/cases/john-bruton","DG External Relations (now European External Action Service)","EU Ambassador to the US (for 5 years)","Senior adviser","Cabinet DN (lobby consultancy) + others","Foreign affairs","December, 2010","""I am pleased to inform you that the Appointing Authority gives you its approval to carry out these activities, as described in your request, on condition that for a period of two years as from the date of your retirement - you shall have no contacts with your former colleagues of DG RELEX, regarding files and matters you dealt with during your functions of Head of Delegation in Washington, - you shall not deal with cases and may not be involved with consultancy services concerning files in which you were involved during your function as Head of Delegation in Washington. These restrictions are designed to protect the interests of the Institution and avoid risks of potential conflicts of interest"".","In May 2010, Mr Bruton additionally became President of the Dublin-based International Financial Services Centre. Mr Bruton has also undertaken work for Montpelier RG, American Oriental Bio Engineering, Gerson Lehman Group, McDermott, Will and Emery, and Ingersoll Rand.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Algirdas Šemeta","https://corporateeurope.org/revolvingdoorwatch/cases/algirdas-emeta","European Commission","Commissioner for taxation and customs union, audit and anti-fraud","Ukrainian Business Ombudsman","Ukraine's Anti-Corruption Initiative","Business/Industry","December, 2014","The Commission's ad hoc ethical committee was asked to consider this role, especially because of the links to Šemeta's previous Commission portfolio. It found that “The business community is one of the ""Parties"" [to the Anti-Corruption Initiative] and could expect to gain specific benefits from Mr Semata's [sic] former insider position” but in the end the committee approved the role saying that “the position of ""Ukraine Business Ombudsman"" is essentially one of independent service in the public interest”. The three-man ad hoc ethical committee took four days to deliver its verdict, a verdict which the Commission accepted in its meeting on 25 November 2014.","Algirdas Šemeta was European commissioner for taxation and customs union, audit and anti-fraud 2010-14. Now he has Commission approval to become the Ukrainian Business Ombudsman. This role forms part of Ukraine's anti-corruption initiative which is based on a memorandum of understanding between the “Parties” ie. the Ukrainian government, several international organisations including the European Bank for Reconstruction and Development (EBRD) and Ukrainian business associations including the American Chamber of Commerce in Ukraine, the European Business Association, the Federation of Ukrainian Employers, the Ukrainian Chamber of Commerce and Industry and the Ukrainian League of Industrialists and Entrepreneurs. These parties are, in essence, Semeta's new employers.","",""
"John Purvis","https://corporateeurope.org/revolvingdoorwatch/cases/john-purvis","European Parliament","Member of European Parliament (for 15 years)","Senior advisor and chairman of Financial Future","cabinet DN","Finance","null","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent activities.","Purvis was an MEP in 1979-84 and 1999-2009, and for seven years he was the vice-chairman of the European Parliament’s economic and monetary affairs (ECON) committee, where he worked as rapporteur or ’shadow’ on “all major financial services legislation”.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Marcus Lippold","https://corporateeurope.org/revolvingdoorwatch/cases/marcus-lippold","ExxonMobil","Various since 1992","International relations officer","DG Energy","Energy/Climate","October, 2008","Based on evidence gathered via access to documents (namely the absence of any documents regarding the assessment of Mr Lippold for possible conflicts of interest), it appeared that the Commission had not undertaken any assessment considering Mr Lippold's previous career at ExxonMobil and his current energy-related functions at the Commission. See: http://www.asktheeu.org/en/request/staff_regulations_article_11a_2#incom...","Prior to joining the Commission, Mr Lippold had a long career in the oil industry. He joined ExxonMobil in 1992 to become Head of Department for Financial Reporting and Analysis for the company's Central European activities, followed by several management positions in the areas of Finance, Marketing and Information Technology. His most recent positions before joining the European Commission were Fixed Assets Manager for Europe, ExxonMobil Hungary BSC and ERP Systems Change Manager for Finance, ExxonMobil CAS. See: http://be.linkedin.com/pub/marcus-lippold/1/ab/a91","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"José Manuel Barroso","https://corporateeurope.org/revolvingdoorwatch/cases/jos-manuel-barroso","European Commission","President (for 10 years)","null","Various including Goldman Sachs, European Business Summit + Bilderberg Conferences","General","November, 2014","""Sources in the Commission said Barroso’s current situation is not a breach of the code, but more a question of personal judgment.""","For the ten years to October 2014, Barroso was arguably the single most powerful individual within the EU institutions. Earlier in 2014, CEO published a review of the Barroso II Commission and found that:","",""
"Sharon Bowles","https://corporateeurope.org/revolvingdoorwatch/cases/sharon-bowles","European Parliament","Member of European Parliament (for 9 years)","Non-executive director + Senior Strategic Counsel","London Stock Exchange Group plc + Prime Collateralised Securities initiative (PCS) + Afore Consulting","Finance","August, 2014","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent activities.","Sharon Bowles had been an MEP since 2005 until she stepped down at the 2014 EU elections. From 2009, she was chair of the Parliament's economic and monetary affairs committee (ECON) which played a key role in co-drafting EU law and regulations for the financial industry in the wake of the economic and banking crises. As such, it is one of the most influential committees in the European Parliament.","",""
"Aleksandra Tomczak","https://corporateeurope.org/revolvingdoorwatch/cases/aleksandra-tomczak","World Coal Association","European specialist + Policy manager","Policy coordinator EU Coal","European Commission, DG Energy","Energy/Climate","February, 2015","The European Commission has told us that:","In June 2010, Aleksandra Tomczak joined the World Coal Association (WCA); the WCA is the global lobby association for the coal industry, based in London, and is at the heart of efforts to re-brand this dirty fossil fuel via so-called clean-coal technology, and disingenuously promote coal as an energy source that will alleviate poverty. WCA's members include Peabody, Rio Tinto, BHP Billiton, Glencore, Anglo American and many others.","",""
"Karel De Gucht","https://corporateeurope.org/revolvingdoorwatch/cases/karel-de-gucht","European Commission","European commissioner for trade","Member of the management board","Proximus, Merit Capital NV, CVC Partners, ArcelorMittal","Trade","null","At its meeting on 18 March 2015, the Commission authorised De Gucht's proposed moves as long as he","Karel De Gucht was EU trade commissioner 2010-2014 and previously commissioner for international cooperation and aid. On behalf of the EU, he concluded many trade negotiations, including with Canada (CETA), South Korea and East African countries. De Gucht was also a strong proponent of free trade and he launched the EU-US trade talks (also know as TTIP, the Transatlantic Trade and Investment Partnership). He was a controversial Commission figure, especially considering his advocacy around the inclusion of ISDS (investor-state dispute settlement) provisions in TTIP, despite a huge public backlash.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"John Richardson","https://corporateeurope.org/revolvingdoorwatch/cases/john-richardson","DG Maritime Affairs (for 35 years)","Head of maritime policy taskforce","Special adviser - maritime policy and diplomacy","Fipra (lobby consultancy)","Maritime affairs","September, 2008","""I am pleased to inform you that the Appointing Authority gives your its approval to carry out this activity, as described in your request"".","Fipra’s biggest client is RCCL (Royal Caribbean Cruises), the world’s second largest cruise firm which provided 400 000 – 450 000 euros of Fipra’s turnover in 2010.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Fiona Hall","https://corporateeurope.org/revolvingdoorwatch/cases/fiona-hall","European parliament","Member of European parliament (for 10 years)","Senior policy advisor to its energy efficiency team","Rockwool International A/S (Hall's major consultancy client)","Energy/Climate","September, 2014","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent professional activities.","Fiona Hall was an MEP for 10 years from 2004 to 2014; she did not contest the recent European elections. She became leader of the liberal democrats in the European parliament in 2009 and was a member of the parliament's bureau.","",""
"Barbara Gallani","https://corporateeurope.org/revolvingdoorwatch/cases/barbara-gallani","Food and Drink Federation","Director Policy and Sustainability and Chief Scientist","Head of the Communications and External Relations Department","European Food Safety Authority","Food","May, 2016","An EFSA spokesperson has said:","Gallani worked at the Food and Drink Federation, the UK’s major food industry lobby group, for over eight years. According to her Linked-In profile, she “managed a team of 20 and had overall responsibility for two steering groups, 14 technical committees, eight sectors and five associations” in her role as Director Policy and Sustainability and Chief Scientist, which the FDF website refers to as director for Regulation, Science & Sustainability.","",""
"Janez Potočnik","https://corporateeurope.org/revolvingdoorwatch/cases/janez-poto-nik","European Commission","Commissioner for the environment","Chairman","Forum for the future of agriculture + others","Environment","December, 2014","According to Commission documents released to CEO, the Commission approved Potočnik's moves to UN international resource panel and the Forum for the future of agriculture, as well as to become a member of the advisory council of the European Policy Centre (EPC).","Janez Potočnik was a European commissioner for 10 years to November 2014, most recently in the area of the environment. Since leaving the Commission, he has taken on a number of new roles.","",""
"Marcus Lippold","https://corporateeurope.org/revolvingdoorwatch/cases/marcus-lippold-0","DG Energy","Advisor – EU International energy relations","Various","MOL Group + Saudi Aramco","Energy/Climate","August, 2013","The Commission has authorised these sabbatical appointments so long as Lippold abides by “certain limited conditions”, although it is not known what these are. Lippold's Commission authorisation for his Saudi Aramco post runs until the end of March 2016.","Following his move from ExxonMobil to DG Energy, Marcus Lippold was a senior energy economist working on several directives (the emissions' trading scheme's cap and trade, renewable energy directive, fuels quality directive, energy taxation directive etc), according to his LinkedIn profile. He then became a DG Energy advisor on EU international energy relations where he coordinated bilateral oil dialogues and cooperation with OPEC and had a “special focus on energy dialogue” with the OPEC Secretariat.","",""
"Christian Thimann","https://corporateeurope.org/revolvingdoorwatch/cases/christian-thimann","European Central Bank","Counsellor to the President","AXA","Group Head of Strategy & Public Affairs + member of AXA’s Executive Committee","Finance","January, 2014","Aside from general provisions regarding conflicts of interest, professional secrecy and insider-trading, the ECB has no specific power or duty to authorise, restrict or reject proposed revolving door moves by departing staff. Instead, the ECB's rules only require departing staff to “inform their immediate superior of any prospective employment that could cause or could be perceived as causing a conflict of interest.”","The ECB is one of the EU's most important institutions. It is responsible for setting interest rates and monetary policy for the euro zone. Thimann first joined the European Central Bank in 1998 and held a wide range of positions including adviser to ECB President Jean-Claude Trichet from 2008 to 2011. From November 2011, he was counsellor to ECB President Mario Draghi and coordinator of the counsel to the ECB’s executive board. Source: http://www.axa.com/lib/en/library/pr/group/2013/14705.aspx","",""
"Eddy Wymeersch","https://corporateeurope.org/revolvingdoorwatch/cases/eddy-wymeersch","Committee of European Securities Regulators (CESR)","Chairman","Association for Financial Markets in Europe (AFME)","Non‐executive director and senior advisor","Finance","September, 2012","CESR was the predecessor of pan-European market watchdog the European Securities and Markets Authority (ESMA). Whilst ESMA is an EU body, and the legal successor of CESR since its creation in January 2011, and is therefore governed by the revolving door rules in the Staff Regulations, CESR was not an EU body. CESR was an association under French law, which does not generally require approval from employers when employees take up new external positions. So no revolving door restrictions placed on Eddy Wymeersch, who in September 2012 started working for the Association for Financial Markets in Europe (AFME), one of the biggest finance industry lobby platforms.","According to Gaёl de Boissard, the chairman of AFME, the financial lobby group Wymeersch now works for, “Europe’s capital markets are experiencing unprecedented levels of regulatory change and we are delighted to appoint someone with Eddy Wymeersch’s enormous experience of the financial markets to our Board. His expertise and understanding of the role of European policymakers, in particular, will be invaluable to us as an advisor.”","",""
"Tobias McKenney","https://corporateeurope.org/revolvingdoorwatch/cases/tobias-mckenney","European Commission, DG Internal Market","Policy advisor - copyright unit","European intellectual property manager","Google","IT","June, 2012","In September 2014, the Commission told CEO that it had no record of any authorisation request from Tobias McKenney to join Google.","According to information from the Commission, Tobias McKenney was a policy officer in the field of copyright in DG Internal Market from 2009 to 2011. He then held a post of administrative coordination assistant in the area of single market law and relations with the European Parliament in the same DG. McKenney's linked-in profile says that he was a policy advisor in the copyright unit of the Commission from March 2007 to March 2012. His linked-in profile also says that since June 2012, McKenney has been European IP (intellectual property) manager for Google.","",""
"Holger Krahmer","https://corporateeurope.org/revolvingdoorwatch/cases/holger-krahmer","European Parliament","Member of European Parliament (for 10 years)","Director European affairs public policy and government relations","Opel Group","General","October, 2014","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent activities.","Holger Krahmer was first elected to represent the German liberal Free Democratic Party (FDP) in the European Parliament in 2004 where he remained until 2014. During this time, he was active on the environment, public health and food safety (ENVI), the temporary committee on climate change, and as a substitute member of the committee on industry, research and energy.","",""
"George Lyon","https://corporateeurope.org/revolvingdoorwatch/cases/george-lyon","European Parliament","Member of European Parliament (for 5 years)","Agri-business senior consultant","Hume Brophy","Agriculture","January, 2015","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent activities.","George Lyon served as an MEP from 2009 until 2014 when he failed to secure re-election. Before that, Lyon had served as a member of the Scottish Parliament and as President of the National Farmers Union Scotland. As an MEP, Lyon became a member of the agriculture and rural development committee (AGRI) in 2009, overseeing the reform process of the Common Agriculture Policy (CAP). He was AGRI's rapporteur on the issue, producing 'On the future of the Common Agricultural Policy after 2013 (2009/2236(INI))' which set out the committee's opinion on CAP's strategy for the following six years. In 2012 he became vice-chair of the budget committee (BUDG) assuming a strategic position within budget debates.","",""
"Neelie Kroes","https://corporateeurope.org/revolvingdoorwatch/cases/neelie-kroes","European Commission","Commissioner for the digital agenda","Special adviser + board directorships","Bank of America Merrill Lynch + Salesforce + Uber","General","March, 2015","At its meeting on 4 February 2015, the Commission authorised Neelie Kroes' appointment as a special adviser to the Bank of America Merrill Lynch so long as she fulfilled","Neelie Kroes was a commissioner under Barroso for ten years, firstly for competition and then for the digital agenda until 31 October 2014. Prior to that she had had a career in domestic politics in the Netherlands serving as minister of transport, public works and water management in the 1980s. She then took a number of corporate jobs and sat on the boards of Royal P&O Nedlloyd, New Skies Satellites, Thales Netherlands, MM02, Volvo amongst others.","",""
"Darren Ennis","https://corporateeurope.org/revolvingdoorwatch/cases/darren-ennis","European External Action Service","Media and Strategic Communications adviser to Catherine Ashton, EU High Representative of Foreign Affairs and Security","Director","MHP Communications, Brussels","Foreign affairs","September, 2011","""Mr Ennis has not had access to sensitive information during his time with the European External Action Service and was consequently not deemed subject to the obligation of requesting authorisation to take up an offer from another employer in accordance with Article 16 of the Staff Regulations"". (Letter to CEO from David O'Sullivan, EEAS, 8 February 2012)","Mr Ennis only worked for the newly-created European External Action Service (on a temporary basis) from 16 May 2011 until he resigned on 16 June 2011. However, in fact he had worked for Catherine Ashton for a much longer period. MHP's website says that ""Upon her appointment [December 2009], High Representative & Vice President Ashton personally appointed him as her media and strategic communications advisor giving him a key role in developing her narrative for EU foreign policy and helping deliver her political messages to world leaders and media around the globe. He was responsible for creating the communications team that now supports the European External Action Service – the EU diplomatic service - and was a leading member of HRVP Ashton's European Parliament policy team."" http://www.mhpc.com/our-expertise/people","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Olle Schmidt","https://corporateeurope.org/revolvingdoorwatch/cases/olle-schmidt","European Parliament","Member of European Parliament (for 13 years)","Senior consultant","Hume Brophy","Finance","April, 2015","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent activities.","Olle Schmidt served his first mandate at the European Parliament from 1999 to 2004, he returned in 2006 to replace Cecilia Malmström and stayed until the 2014 elections. He also served as a member of the bureau of the ALDE group in the parliament and remains as Vice-President of the ALDE party to this day.","",""
"Gayle Kimberley","https://corporateeurope.org/revolvingdoorwatch/cases/gayle-kimberley","European Council","Lawyer","Lobbyist","Swedish Match","Tobacco","November, 2011","CEO has asked the European Council for copies of all Gayle Kimberley's applications for authorisation to undertake new activities since January 2011. The Council has refused to release any actual documents to CEO but, based on a list of documents which was provided, it appears that it has approved requests to undertake 'leave on personal grounds' ie. sabbaticals, although further detail about these requests has not been released. It is not known whether or not the European Council has specifically approved Kimberley's lobbying activities, detailed below. In December 2013, the Council confirmed to CEO that Kimberley remains “an official of the Council of the European Union”.","After six years at the European Council, Kimberley undertook a sabbatical, starting in January 2011. Up to that point, she had held a variety of roles at the Council but from January 2009 she had responsibility for, amongst other topics, the EU's Staff Regulations (which contain the EU's revolving door rules). (Information from European Council letter to CEO dated 9 July 2013).","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Silvana Koch-Mehrin","https://corporateeurope.org/revolvingdoorwatch/cases/silvana-koch-mehrin","European Parliament","Member of European Parliament (for 10 years)","Senior policy adviser","gplus Europe","Trade","November, 2014","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent activities.","Silvana Koch-Mehrin served two mandates in the European Parliament from 2004 to 2014. She was vice-president of the ALDE (liberal democrat) group from 2004 to 2009 and a vice-president of the Parliament from 2009 until she resigned that role in 2011 following a scandal about her doctoral thesis and allegations of plagiarism. As an MEP, she was an active member of the committee on industry, research and energy and a substitute member of the international trade committee.","",""
"Gary Titley","https://corporateeurope.org/revolvingdoorwatch/cases/gary-titley","European Parliament","Member of European Parliament (for 20 years)","Senior consultant","Hume Brophy","General","January, 2010","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent professional activities.","Titley is a former leader of the Labour Party group in the European Parliament and four-term MEP. He was a member of a number of committees: transport, industry and energy; internal market; economic and monetary affairs; legal affairs; and foreign affairs. He was also the socialist group’s vice-president responsible for the 2004 enlargement of the EU.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
